dep_id	fips	quad	huc
10246863	f32019	q40120NWF4	h16050104
10246864	f32001	q40120NWH2	h16050104
10246865	f32001	q40120SEH2	h16060001
10246866	f32011	q41118NEF1	h16040101
10246867	f32021	q39120NED2	h16050304
10246868	f31155	q42098SEE4	h10200203
10246869	f32015	q41118NEB4	h16040107
10246870	f32013	q42120NEG2	h16040201
10246871	f32009	q38118NWG3	h16060011
10246872	f32003	q37116NEH3	h15010010
10246873	f32007	q42116NEC2	h17040213
10246874	f32021	q39120NEH4	h16060010
10246875	f32013	q41118NWD1	h16040108
10246876	f32003	q37116SEA3	h15010015
10246877	f32001	q40120NEH1	h16060001
10246878	f32013	q42118SWE1	h16040109
10246879	f32007	q42118NEG3	h17050105
10246880	f32009	q38120NEF1	h16060010
10246881	f32007	q42118SEG2	h17050105
10246882	f32007	q42116SWB4	h16040102
10246883	f32007	q42116NWB3	h17050104
10246884	f32015	q41118NWG4	h16040107
10246885	f32013	q42120SWF4	h16040203
10246886	f32007	q42116NWF2	h17050102
10246887	f32001	q40118NWB2	h16060001
10246888	f32017	q38116SEG4	h15010010
10246889	f32013	q42120SED4	h16040202
10246890	f32017	q39116SEA2	h16060009
10246891	f32021	q39118SWA1	h16060010
10246892	f32007	q41118NEG3	h16040101
10246893	f32003	q36116SWG1	h16060015
10246894	f32007	q42116NWA4	h16040102
10246895	f32017	q38116SEB1	h16060009
10246896	f32019	q40120SWF4	h16050302
10246897	f32011	q41118SED3	h16040105
10246898	f32011	q40118NEH1	h16040104
10246899	f32013	q42118NWD2	h16040201
10246900	f32009	q39118SWC2	h16060003
10246901	f32007	q42116SEA1	h17040213
10246902	f32021	q39120SEH1	h16060010
10246903	f30111	q46110NED2	h10070004
10246905	f32007	q42116SEA1	h16040101
10246906	f30111	q46110NEE3	h10070004
10246907	f32007	q42118NEG2	h17050105
10246908	f32003	q37116NEH2	h15010010
10246909	f32017	q38116NEH1	h16030006
10246910	f30105	q49108SEE3	h10050016
10246911	f32021	q39118SWA1	h16060010
10246912	f32007	q42116NWC2	h17050102
10246913	f32003	q36116NWD2	h16060015
10246914	f32015	q40118SWH2	h16040107
10246915	f32015	q41118NWG4	h16040107
10246916	f32013	q42118SWB4	h16040109
10246917	f32021	q39120SEE1	h16050304
10246918	f32005	q39120NWD2	h16050302
10246919	f32017	q39116SWH4	h15010011
10246920	f32015	q40118NWG4	h16040107
10246921	f32023	q39118NEA3	h16060011
10246922	f32013	q41118NWA1	h16040108
10246923	f32007	q42118SEH2	h17050105
10246924	f32007	q42116NWA2	h17050104
10246925	f32001	q40120SEH2	h16060001
10246926	f32007	q41116SED2	h16060008
10246927	f32001	q40120SEH1	h16060001
10246928	f32015	q41118SEC4	h16040105
10246929	f32009	q38120NEF2	h16060010
10246930	f32009	q38118SWE2	h16060013
10246931	f32017	q39116NEC4	h16060009
10246932	f32015	q40118NEB3	h16060004
10246933	f32011	q40118SEG1	h16060005
10246934	f32009	q38118NWG3	h16060011
10246935	f32013	q41118NWE1	h16040105
10246936	f32015	q40118NEA4	h16060004
10246937	f32015	q41118NWH4	h16040107
10246938	f32017	q38116NEF1	h15010013
10246939	f32013	q42120SEA4	h16040202
10246940	f32019	q40120SWC3	h16050202
10246941	f32009	q38118SWC1	h16060010
10246942	f32021	q39120SEE1	h16050304
10246943	f32031	q42120NWD2	h17120008
10246944	f35025	q33104SWC4	h13070001
10246945	f35017	q34110SEF3	h15040001
10246946	f32033	q40116NEG3	h16060008
10246947	f35025	q33104SWG2	h13070007
10246948	f35001	q36108SEE4	h13020203
10246949	f32031	q40120NWF1	h16050103
10246950	f32033	q41116SEF4	h16060008
10246951	f35025	q34104SWE4	h12080003
10246952	f35025	q34104SWE2	h12080006
10246953	f32033	q40116SEE4	h16060008
10246954	f35003	q34110SEH2	h15040001
10246955	f32027	q41120SED4	h16040108
10246956	f32029	q40120SWC2	h16050202
10246957	f33015	q44072SWG4	h01060003
10246958	f35025	q33104NWF1	h12080003
10246959	f35009	q35104NWG3	h11120101
10246960	f35001	q36108SED4	h13020203
10246961	f34005	q40076NEE1	h02040202
10246962	f32027	q41120SEE4	h16040108
10246963	f32023	q40118SWA4	h16060002
10246964	f34029	q40076NEG1	h02040301
10246965	f35017	q33110NEA1	h15040002
10246966	f35017	q34110SEE4	h15040001
10246967	f35017	q34110SEG4	h15040001
10246968	f32023	q37118NEA1	h16060013
10246969	f32027	q41120SEB1	h16050104
10246970	f32027	q41118NWA2	h16040108
10246971	f32027	q41120NWF3	h16040202
10246972	f32033	q39116NEF2	h16060008
10246973	f35006	q36108SWE4	h13020207
10246974	f35013	q33108SED1	h13050003
10246975	f33005	q44074SEF4	h01080201
10246976	f35001	q36108SEC4	h13020203
10246977	f33009	q45072SWA3	h01080101
10246978	f32027	q41118NWF3	h16060001
10246979	f35003	q34110NEB3	h15040004
10246980	f32027	q41120SWG4	h16050104
10246981	f32027	q41120SEH2	h16060001
10246982	f33009	q44072NWA3	h01080104
10246983	f32027	q41120SEC2	h16040108
10246984	f35025	q33104SWC3	h13070001
10246985	f35023	q33110SEA4	h15040003
10246986	f32031	q40120SWC1	h16050102
10246987	f32027	q41120NEG4	h16040108
10246988	f32023	q40118SEB4	h16060005
10246989	f32027	q41120SEC4	h16040108
10246990	f32023	q37118NEA1	h18090202
10246991	f32033	q40116SEF4	h16020301
10246992	f33019	q44074SEE2	h01080104
10246993	f35017	q33110NEG2	h13030202
10246995	f32027	q41120SEB3	h16050104
10246996	f35007	q37106NEF4	h11080001
10246997	f32023	q39118NWG3	h16060004
10246998	f33005	q43074NEE2	h01080201
10246999	f32031	q40120SWB1	h16050102
10247000	f32031	q41120SWE1	h16040203
10247001	f32023	q38118SEH3	h16060014
10247002	f35001	q36108SEC4	h13020203
10247003	f32027	q41118NWA3	h16040108
10247004	f35025	q33104SWH1	h13070007
10247005	f34031	q42076SEF4	h02030103
10247006	f33009	q44074NEG3	h01080104
10247007	f32031	q40120NWD3	h16050103
10247008	f35005	q34106SEG1	h13060007
10247009	f32027	q41120NEG2	h16040108
10247010	f35006	q36108SWB2	h13020207
10247011	f35009	q35104SWG1	h12050002
10247012	f32033	q39116NWF2	h16060012
10247013	f32031	q40120NWF1	h16050103
10247014	f32027	q41118SWB2	h16060001
10247015	f34027	q41076NEC2	h02030105
10247016	f33019	q44074SEF3	h01080104
10247017	f33003	q44072NWF3	h01070002
10247018	f32023	q39118NWH4	h16060011
10247019	f32023	q39118SEA4	h16060011
10247020	f35025	q33104NWF4	h13070007
10247021	f35023	q33110SEC2	h15040003
10247022	f35013	q33108SED1	h13050003
10247023	f35001	q35108NEF1	h13020203
10247024	f32023	q40118SWA4	h16060002
10247025	f32027	q41120SEH2	h16060001
10247026	f32023	q39118NWA2	h16060002
10247027	f35001	q36108SED3	h13020203
10247028	f35025	q33104NWB2	h13060011
10247029	f34037	q41076NEC1	h02040105
10247030	f32027	q41120SEG1	h16040108
10247031	f32023	q40118SWG4	h16060004
10247032	f32027	q41120NEG4	h16040108
10247033	f33005	q43074NEE1	h01080104
10247034	f35007	q37106NWG3	h11080002
10247035	f35006	q36108SWA4	h13020207
10247036	f32023	q39118NEA4	h16060011
10247037	f35009	q35104NWE3	h12050005
10247038	f34037	q42076SED3	h02020007
10247039	f32031	q40120NWA4	h16050102
10247040	f34027	q41076NED1	h02030103
10247041	f35003	q34110SEC3	h15040004
10247042	f33009	q45072SWD4	h01070001
10247043	f32023	q39118NWD1	h16060003
10247044	f35013	q33108SED1	h13050003
10247045	f32023	q39118SWF4	h16060003
10247046	f32031	q41120NWE1	h16040203
10247047	f35017	q33110NEE4	h15040003
10247048	f32031	q40120SWC2	h16050102
10247049	f32031	q40120NWF1	h16050103
10247050	f35019	q35106NEB2	h13060002
10247051	f35025	q33104NWE3	h13070007
10247052	f35017	q33110NEH2	h13030202
10247053	f35009	q35104SWE1	h12050001
10247054	f35013	q33108SED1	h13030103
10247055	f33007	q45072NWG4	h01040001
10247056	f35001	q35108NEC1	h13020203
10247057	f35023	q32110NEG2	h13030201
10247058	f32027	q41118NWB2	h16040108
10247059	f34023	q41076NEE4	h02030105
10247060	f32031	q41120SWD1	h16040203
10247061	f35023	q33110SEB2	h15040003
10247062	f35007	q37106NWG4	h11080002
10247063	f33005	q43074NEF2	h01080201
10247064	f35009	q35104SWG1	h12050002
10247065	f33005	q44074SEF4	h01080201
10247066	f35003	q35110SEE2	h15020003
10247067	f35017	q33110NEF4	h13030202
10247068	f32027	q41120SED2	h16040108
10247069	f32031	q41120SWD1	h16040203
10247070	f32023	q39116SWD1	h16060012
10247071	f32027	q41120SWF3	h16050103
10247072	f35025	q34104SWG4	h12080004
10247073	f35025	q34104SWD1	h12080001
10247074	f32031	q40120NWF4	h16050102
10247075	f32033	q40116SEF3	h16060008
10247076	f32023	q39118NWH4	h16060003
10247077	f32027	q41120SEH3	h16060001
10247078	f35019	q36106SEC4	h13060001
10247079	f32023	q39118NWG4	h16060003
10247080	f35017	q33110NEG2	h13030202
10247081	f35007	q37106SED2	h11080002
10247082	f32031	q40120NWB1	h18080003
10247083	f35001	q35108NEC1	h13020203
10247084	f32031	q41120SWB3	h18080003
10247085	f32027	q41120NEC3	h16040202
10247086	f35023	q33110SEB2	h15040003
10247087	f32023	q40118SEB4	h16060005
10247088	f32023	q39118NWA2	h16060002
10247089	f32027	q41120SWF1	h16050103
10247090	f32027	q41120NEE3	h16040108
10247091	f35009	q35104SWD1	h12050001
10247092	f34037	q42076SEB4	h02040105
10247093	f35025	q33104NWG1	h12080003
10247094	f32031	q40120NWE2	h16050103
10247095	f35023	q33110SEB3	h15040003
10247096	f32033	q40116SEC4	h16060008
10247097	f33011	q44072SWB4	h01070002
10247098	f32031	q40120SWC2	h16050102
10247099	f35025	q33104SWF4	h13070007
10247100	f35025	q33104SWG1	h13070007
10247101	f32033	q40116SEA2	h16060008
10247102	f35001	q36108SEE4	h13020203
10247104	f35003	q35108SWA2	h13020208
10247105	f32033	q40116NED3	h16060008
10247106	f35009	q35104SWG2	h12050002
10247107	f32027	q41120SEG1	h16060001
10247108	f35017	q32110NEE1	h13030201
10247109	f32510	q40120SWB3	h16050201
10247110	f35023	q32110NEB4	h15040003
10247111	f32027	q41118SWC2	h16060001
10247112	f35013	q33108SED1	h13030103
10247113	f35006	q36108SWF4	h13020207
10247114	f32027	q41120SEG1	h16060001
10247115	f35023	q33110SEC3	h15040003
10247116	f35017	q33110NEC3	h15040002
10247117	f35015	q33106SEE1	h13060011
10247118	f32027	q41120SWF1	h16040203
10247119	f32027	q41120SEE4	h16040108
10247120	f34005	q41076SEB4	h02040202
10247121	f33009	q44074NEH4	h01080104
10247122	f35001	q35108NEB1	h13020203
10247123	f34027	q41076NED2	h02030105
10247124	f35031	q36108SWB2	h13020207
10247125	f33009	q44072NWA3	h01070001
10247126	f32031	q40120NWF1	h16050103
10247127	f35015	q33104NWB2	h13060011
10247128	f32027	q41120SED2	h16040108
10247129	f34009	q40076SEB2	h02040302
10247130	f32031	q40120NWA4	h16050102
10247131	f35025	q33104SWG3	h13070007
10247132	f32023	q39118NWH3	h16060004
10247133	f32033	q39116NEF2	h16060008
10247134	f32027	q41120SEC4	h16040108
10247135	f32023	q37118NEA1	h18090202
10247136	f35017	q33110NEE2	h15040002
10247137	f35023	q33110SEC2	h15040003
10247138	f32033	q40116SEE4	h16060008
10247139	f32023	q39118NEB4	h16060011
10247140	f35017	q33110NEB3	h15040002
10247141	f32023	q39116SWC3	h16060012
10247142	f35013	q33108NWH3	h13030102
10247143	f32023	q39118NWH3	h16060004
10247144	f32033	q40116SWB1	h16060006
10247145	f34027	q41076NEC1	h02030105
10247146	f33007	q45072NWG1	h01040001
10247147	f35025	q34104SWD2	h12080001
10247148	f35019	q35106NEA1	h13060002
10247149	f35017	q33110SED1	h15040003
10247150	f32023	q39118SWH4	h16060011
10247151	f35013	q33108NWH3	h13030102
10247152	f35017	q33110NED3	h15040002
10247153	f32023	q39118SWF1	h16060003
10247154	f35006	q35108NWE1	h13020207
10247155	f33013	q44072SWB1	h01070003
10247156	f33003	q44072NWF2	h01060002
10247157	f35013	q33108SED2	h13030102
10247158	f34031	q42076SEF3	h02030103
10247159	f33019	q44074SEH2	h01080104
10247160	f32510	q40120SWC3	h16050202
10247161	f32023	q39118NEB4	h16060005
10247163	f32027	q41120SEG2	h16040108
10247164	f32027	q41120SEH1	h16060001
10247165	f34027	q41076NED1	h02030105
10247166	f35009	q35104NWD3	h12050005
10247167	f32033	q40116SEA2	h16060008
10247168	f32027	q41120SEG2	h16040108
10247169	f32023	q39116SWE1	h16060012
10247170	f34013	q41076NEG2	h02030104
10247171	f32023	q39118NEB1	h16060005
10247172	f32027	q41120SEG2	h16060001
10247173	f35013	q33108SEB4	h13030102
10247174	f32027	q41120SEB1	h16050104
10247175	f33015	q43072NEA1	h01060003
10247176	f34041	q41076NWH2	h02040105
10247177	f35001	q36108SEF4	h13020203
10247178	f35005	q34106NEE4	h13060007
10247179	f32031	q40120NWA1	h18080003
10247180	f32031	q40120SWB2	h16050102
10247181	f32027	q41120NWG2	h16040202
10247182	f35015	q33106NEE2	h13060007
10247183	f34027	q41076NEC2	h02030105
10247184	f32033	q40116NWD1	h16060007
10247185	f33009	q44072NWB2	h01070001
10247187	f35023	q32110NEG2	h13030201
10247188	f32023	q37116SWA1	h16060014
10247189	f32023	q39118NEA3	h16060004
10247190	f32031	q40120NWB3	h16050102
10247191	f32023	q39118NEF3	h16060012
10247192	f35023	q33110SEB1	h15040003
10247193	f35025	q34104SWH2	h12080006
10247194	f35025	q33104NWF2	h12080003
10247195	f32023	q38118SEH3	h16060014
10247196	f32023	q37116SWA1	h16060015
10247197	f32033	q40116NEB2	h16060008
10247198	f35013	q33108SEC2	h13030102
10247199	f35013	q33108NEA4	h13030103
10247200	f35025	q33104SWG3	h13070007
10247201	f32027	q41118NWE4	h16040105
10247202	f32027	q41120SEE4	h16040108
10247203	f35017	q33110NEE3	h15040002
10247204	f32033	q40116SEE4	h16060008
10247205	f32033	q40116SWE3	h16060012
10247206	f33009	q44072NWB3	h01070001
10247207	f35025	q33104NWF1	h12080003
10247208	f32027	q41120SEB4	h16050104
10247209	f32033	q39116NEF2	h16060008
10247210	f35025	q33104NWE3	h13060011
10247211	f32033	q40116SEC4	h16060008
10247212	f35015	q33106SEE4	h13060011
10247213	f33015	q44072SWG4	h01060003
10247214	f32027	q41120SWF3	h16050103
10247215	f32033	q40116SWB1	h16060006
10247216	f32023	q39116SWD1	h16060012
10247217	f32027	q41118SWE3	h16060001
10247218	f32027	q41120SED1	h16050104
10247219	f34009	q40076SEB3	h02040206
10247220	f32023	q39116NWE3	h16060012
10247221	f35025	q34104SWF4	h12080003
10247222	f32023	q39118NEF3	h16060012
10247223	f32023	q39118SWG1	h16060003
10247224	f32023	q39118NWF2	h16040107
10247225	f35017	q33110NEA1	h15040002
10247226	f32510	q40120SWC3	h16050202
10247227	f32027	q41118SWB4	h16060001
10247228	f32033	q40116SWH2	h15010011
10247229	f34027	q41076NED1	h02030103
10247230	f32031	q41120SWB1	h16040203
10247231	f32027	q41120SED2	h16050104
10247232	f32031	q40120SWB2	h16050102
10247233	f32023	q39118NWA2	h16060002
10247234	f34027	q41076NED1	h02030105
10247235	f34027	q41076NED2	h02030105
10247236	f32031	q42120SWD2	h16040204
10247237	f35003	q34110SEG3	h15040001
10247238	f32023	q39118NWB2	h16060002
10247239	f32027	q41120NWF1	h16040203
10247240	f35003	q34110SEB1	h15040004
10247241	f35006	q36108SWB3	h13020207
10247242	f32027	q41120SEG2	h16040108
10247243	f32027	q41120SEG2	h16040108
10247244	f32027	q41120SWG1	h16050104
10247245	f32033	q40116NEA1	h16060008
10247246	f34041	q41076NEA1	h02040105
10247247	f32033	q40116NEF3	h16060008
10247248	f32027	q41120SEG3	h16050203
10247249	f35015	q33104NWA2	h13060011
10247250	f35017	q33110NEH2	h13030202
10247251	f32023	q39118NWA1	h16060002
10247252	f35006	q36108SWC4	h13020207
10247253	f32027	q41120SEG3	h16050203
10247254	f32029	q40120SWC2	h16050202
10247255	f32029	q40120SWC2	h16050202
10247256	f35013	q33108NWG3	h13030102
10247257	f32031	q41120NWF2	h16040203
10247258	f32027	q41118SWB2	h16060001
10247259	f35003	q34110NEA3	h15040004
10247260	f34027	q41076NEC2	h02030105
10247261	f32033	q40116SWH2	h16060008
10247262	f33009	q44072NWA2	h01070001
10247263	f32023	q39116SWD2	h16060012
10247264	f34031	q41076NEG2	h02030103
10247265	f32023	q39118SEB4	h16060011
10247266	f32023	q39118NWB1	h16060003
10247267	f32029	q40120SWC2	h16050202
10247268	f32027	q41120SEG2	h16040108
10247269	f32023	q39118NWB1	h16060003
10247270	f32023	q38118SEA2	h16060013
10247271	f35019	q36106SWG3	h13060001
10247272	f32027	q41120SEB1	h16050104
10247273	f35006	q35108NWG1	h13020207
10247274	f32031	q40120SWB2	h16050102
10247275	f32027	q41120SWF4	h16050103
10247276	f35023	q33110NEA3	h15040002
10247277	f32029	q40120SWC1	h16050102
10247278	f35023	q33110SEB1	h15040003
10247279	f33003	q44072NWH3	h01060002
10247280	f35021	q36106NEH2	h11080006
10247281	f32027	q41120SEE3	h16040108
10247282	f35019	q36106SEF4	h11080006
10247283	f34037	q42076SED3	h02020007
10247284	f34019	q41076NEA3	h02030105
10247285	f32023	q37118NEC2	h18090202
10247286	f35015	q33104SWB4	h13060011
10247287	f35025	q33104SWG1	h13070007
10247288	f34041	q41076NWH2	h02040105
10247289	f32033	q40116SWC1	h16060006
10247290	f35017	q33110NEF3	h15040002
10247291	f35003	q34110SEB2	h15040004
10247292	f35025	q34104SWD3	h12080003
10247293	f32031	q40120NWD3	h16050103
10247294	f33015	q44072SWG4	h01060003
10247295	f32031	q41120NWD1	h16040203
10247296	f32027	q41118NWE4	h16060001
10247297	f35025	q33104SWG2	h13070007
10247298	f35006	q36108SWE4	h13020207
10247299	f32023	q39118NWD1	h16060003
10247300	f32031	q40120SWA3	h16050102
10247301	f33015	q44072SWG4	h01060003
10247302	f35017	q33110SEE2	h15040003
10247303	f32027	q41120SEG2	h16050203
10247304	f32029	q40120SWC2	h16050202
10247305	f32027	q41120NEG2	h16040108
10247306	f32023	q39118NWH4	h16060003
10247307	f35017	q33110NEH2	h13030202
10247308	f35025	q33104SWG3	h13070007
10247309	f34041	q41076NWG3	h02040105
10247310	f35025	q33104SWF1	h13070007
10247311	f32023	q39118NWH4	h16060003
10247312	f32027	q41120SED1	h16040108
10247313	f32027	q41120NEG4	h16040108
10247314	f35007	q37106NWG3	h11080002
10247315	f32027	q41120SEB2	h16050104
10247316	f32023	q39118NWB2	h16060003
10247317	f32027	q41120NEH2	h16040108
10247318	f35009	q35104SWC1	h12050001
10247319	f35025	q33104NWG3	h12080003
10247320	f32033	q40116SEE4	h16060008
10247322	f32027	q41120SEB1	h16050104
10247323	f32027	q41120SEF2	h16040108
10247324	f35001	q35108NEC1	h13020203
10247325	f32023	q39118NWH4	h16060003
10247326	f35017	q34110SED4	h15040001
10247327	f32510	q40120SWB3	h16050201
10247328	f32023	q39118NEA1	h16060004
10247329	f32023	q40118SWF3	h16040107
10247330	f32033	q40116SEA2	h16060008
10247331	f35003	q34110SEG3	h15040001
10247332	f32031	q42120SWE3	h16040203
10247333	f35017	q33110NEC3	h15040002
10247334	f35015	q33104NWA2	h13060011
10247335	f32031	q40120NWB3	h18080003
10247336	f32027	q41120SEE3	h16040108
10247337	f35015	q33106SEG1	h13060011
10247338	f32027	q41120SWG4	h16050104
10247339	f32027	q41120SEG2	h16040108
10247340	f32027	q41120SEF4	h16050203
10247341	f32023	q37118NEC1	h18090202
10247342	f32027	q41120SWH1	h16050104
10247343	f35025	q34104NWG4	h12080001
10247344	f35019	q35106NEA1	h13060002
10247345	f35019	q35106NWG4	h13060003
10247346	f34027	q41076NED1	h02040105
10247347	f32027	q41120NEG4	h16040108
10247348	f32033	q40116SEC4	h16060008
10247349	f35025	q34104SWD1	h12080001
10247350	f32027	q41120NED2	h16040202
10247351	f32023	q39118NWG4	h16060003
10247352	f32023	q37118SEE1	h18090202
10247353	f33009	q44072NWC1	h01070001
10247354	f35006	q36110SEH2	h13020207
